what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1306578478700
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1306578478978
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1306578487153
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1306578487475
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1306578548700
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1306578549024
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306578552670
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1306578552693
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306578556780
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1306578572138
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1306578585438
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306578585622
opened,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1306578588867
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1306578588884
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306578589038
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1306578589074
executed,command,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.openFileSearchPage",1306578589134
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1306578591205
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1306578602128
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1306578606393
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1306578612081
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1306578612730
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1306578613035
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1306578626963
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1306578627274
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1306578630588
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1306578630905
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1306578667167
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1306578667487
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1306578669232
opened,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1306578701895
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1306578701946
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306578744316
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306578748502
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1306578751292
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306578752985
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306578757408
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306578760278
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306578760966
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306578761540
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306578762297
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306578763242
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306578763815
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306578765393
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306578768407
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306578848668
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306578853022
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306578980271
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306578983730
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306578996928
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306579113950
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306579207033
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306580873058
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1306580936121
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1306580939676
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1306580940769
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1306580944545
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1306580945083
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1306580945367
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1306580947415
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1306580950701
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306580952805
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306581027067
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306581038386
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306581049051
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306581059923
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306581314821
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1306581333285
executed,command,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.edit.text.java.toggle.comment",1306581334575
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1306581335858
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1306581341227
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1306581342191
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1306581371831
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1306581375185
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1306581381201
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1306581417093
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1306581420578
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1306581422415
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1306581423183
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306581435227
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306581445911
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306581447396
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306581451934
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306581457963
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306581463007
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1306581473252
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1306581479588
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1306581479995
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1306581493366
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1306581499954
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1306581516365
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1306581522478
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1306581552819
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1306581567508
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1306581574318
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1306581577362
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1306581578029
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1306581583327
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306581585297
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306581590911
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306581592423
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306581596422
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1306581607892
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306581608667
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306581609917
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306581613257
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306581616308
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306581617731
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306581618468
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306581619124
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306581620582
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306581627188
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306581629519
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306581630174
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306581631797
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1306581696669
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306581707489
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306581963816
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1306582011094
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306582022564
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306582028684
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1306582030830
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1306582033093
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306582056177
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306582058407
